hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
RedDoorz Premium @ Nguyen Thai Son Street,https://www.tripadvisor.com/Hotel_Review-g293925-d15129323-Reviews-RedDoorz_Premium_Nguyen_Thai_Son_Street-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"212-214 Nguyen Thai Son Street Ward 4, Go Vap District, Ho Chi Minh City 700000 Vietnam",10.82019,106.68358,,,,
Fuji Landmark 3,https://www.tripadvisor.com/Hotel_Review-g293925-d21404703-Reviews-Fuji_Landmark_3-Ho_Chi_Minh_City.html,,,,,"166-168 Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Ho Chi Minh City Vietnam",10.779986,106.69466,,,,
My Khuyen Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d7193745-Reviews-My_Khuyen_Hotel-Ho_Chi_Minh_City.html,,,,,"476B Tran Hung Dao Ward 2, District 5, Ho Chi Minh City 70000 Vietnam",10.78108,106.70536,,,,
Minnie & Beau Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d19912995-Reviews-Minnie_Beau_Hotel-Ho_Chi_Minh_City.html,,,,,"217/34/6 De Tham Street Pham Ngu Lao Ward, District 1, Ho Chi Minh City Vietnam",10.767989,106.69316,,,,
Sky Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d23410710-Reviews-Sky_Hotel-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"26/14 Do Quang Dau Str, Pham Ngu Lao Ward, Dist.1, Ho Chi Minh City Vietnam",10.766875,106.69129,,,,
Venus - Mien Phi Dua Don San Bay,https://www.tripadvisor.com/Hotel_Review-g293925-d21301790-Reviews-Venus_Mien_Phi_Dua_Don_San_Bay-Ho_Chi_Minh_City.html,,,,,"1A Bach Dang, Ward 2, Ho Chi Minh City Vietnam",10.814787,106.67035,,,,
Nguyen Duc Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d7193757-Reviews-Nguyen_Duc_Hotel-Ho_Chi_Minh_City.html,,,,,"A75/6 Bach Dang Street, Ward 2, Tan Binh District, Ho Chi Minh City 70000 Vietnam",10.81436,106.67088,,,,
Life Resort Management,https://www.tripadvisor.com/Hotel_Review-g293925-d7193758-Reviews-Life_Resort_Management-Ho_Chi_Minh_City.html,,,,,"28 64, Pho Quang Ward 2, Tan Binh District, Ho Chi Minh City 70000 Vietnam",10.80601,106.66904,,,,
Boholand Hostel and Cafe,https://www.tripadvisor.com/Hotel_Review-g293925-d20787409-Reviews-Boholand_Hostel_and_Cafe-Ho_Chi_Minh_City.html,,,,,"39/18 Nguyen Trai, Ho Chi Minh City Vietnam",10.770344,106.69277,,,,
Luxury Apartment in Vinhomes,https://www.tripadvisor.com/Hotel_Review-g293925-d25056678-Reviews-Luxury_Apartment_in_Vinhomes-Ho_Chi_Minh_City.html,,,,,"208 Nguyen Huu Canh Street, Ho Chi Minh City 76000 Vietnam",10.795542,106.71917,,,,
Van Huynh,https://www.tripadvisor.com/Hotel_Review-g293925-d23513565-Reviews-Van_Huynh-Ho_Chi_Minh_City.html,,,,,"77 Bic Dường 3/2 Phường 4 32 Thiên Thành, Ho Chi Minh City Vietnam",10.765341,106.66273,,,,
The Cabin,https://www.tripadvisor.com/Hotel_Review-g293925-d20154886-Reviews-The_Cabin-Ho_Chi_Minh_City.html,,,,,"150/15 Nguyen Trai, Ho Chi Minh City Vietnam",10.769867,106.690025,,,,
Stay In Vietnam River Gate,https://www.tripadvisor.com/Hotel_Review-g293925-d25056668-Reviews-Stay_In_Vietnam_River_Gate-Ho_Chi_Minh_City.html,,,,,"151-155 Ben Van Don, Ho Chi Minh City 700000 Vietnam",10.762289,106.69902,,,,
Ngoc Thanh Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21507443-Reviews-Ngoc_Thanh_Hotel-Ho_Chi_Minh_City.html,,,,,"181 Duong Nguyen Gia Tri, Ho Chi Minh City Vietnam",10.806054,106.71589,,,,
Wonder Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21507435-Reviews-Wonder_Hotel-Ho_Chi_Minh_City.html,,,,,"Duong So 1 P5-31, Ho Chi Minh City Vietnam",10.773634,106.69728,,,,
Snow Garden Building,https://www.tripadvisor.com/Hotel_Review-g293925-d15783172-Reviews-Snow_Garden_Building-Ho_Chi_Minh_City.html,,,,,"269 Nguyen, Ho Chi Minh City Vietnam",10.80647,106.68426,,,,
Khach San Dai Lac 1,https://www.tripadvisor.com/Hotel_Review-g293925-d17546757-Reviews-Khach_San_Dai_Lac_1-Ho_Chi_Minh_City.html,,,,,"116 Duong So 5, Ho Chi Minh City Vietnam",10.7768,106.65256,,,,
Nhat Van Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d15232051-Reviews-Nhat_Van_Hotel-Ho_Chi_Minh_City.html,,,,,"Tran Thien Chanh, P. 12, Q. 10, Ho Chi Minh City Vietnam",10.69211,106.57657,,,,
Value Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d12711577-Reviews-Value_Hotel-Ho_Chi_Minh_City.html,,,,,"5, Street 7, Ward 3, Go Vap District, Ho Chi Minh City Vietnam",10.85193,106.65375,,,,
